scan_id,broker,pair,rate_type,qty,buy,sell
000000029,Cinkciarz,NOKPLN,50K price,1,4504,4565
000000029,Cinkciarz,CHFPLN,unit price,1,47625,48013
000000029,Cinkciarz,EURPLN,unit price,1,46662,47051
000000029,Cinkciarz,GBPPLN,unit price,1,53454,53871
000000029,Cinkciarz,USDPLN,unit price,1,45032,45406
000000029,Cinkciarz,NOKPLN,unit price,1,4502,4564
000000030,InternetowyKantor,EURPLN,unit price,1,46727,47027
000000030,InternetowyKantor,CHFPLN,unit price,1,47751,48151
000000030,InternetowyKantor,USDPLN,unit price,1,45098,45397
000000030,InternetowyKantor,GBPPLN,unit price,1,53493,53893
000000030,InternetowyKantor,NOKPLN,unit price,1,4506,4566
000000030,Cinkciarz,CHFPLN,50K price,1,47701,47956
000000030,Cinkciarz,EURPLN,50K price,1,46725,46989
000000030,Cinkciarz,GBPPLN,50K price,1,53517,53813
000000030,Cinkciarz,USDPLN,50K price,1,45098,45359
000000030,Cinkciarz,NOKPLN,50K price,1,4503,4565
000000030,Cinkciarz,CHFPLN,unit price,1,47629,48019
